E (GeV), px (GeV), py (GeV), pz (GeV)
5.0000000000e+02,+3.6401261101e+02,+1.3459866331e+02,-3.1523778506e+02
5.0000000000e+02,+2.1854972749e+02,-3.0070118153e+02,-3.3438250300e+02
5.0000000000e+02,+3.6315658023e+01,-3.2679610477e+02,+3.7667269765e+02
5.0000000000e+02,+2.6781957241e+02,+1.0254553704e+01,-4.2209520613e+02
5.0000000000e+02,-2.9017484820e+02,+1.6648062789e+02,-3.7159063535e+02
5.0000000000e+02,+3.7782409582e+02,+9.2824326141e+01,+3.1405324288e+02
5.0000000000e+02,+1.3273055575e+02,-1.8206272002e+01,+4.8171358036e+02
5.0000000000e+02,-2.9971362092e+02,-2.2244415606e+02,+3.3269683669e+02
5.0000000000e+02,-1.1845527909e+02,-1.5508745076e+02,-4.6034016960e+02
5.0000000000e+02,+3.2971035796e+02,+9.7162550274e+01,-3.6310791915e+02
5.0000000000e+02,+3.6615627549e+02,+1.9592851572e+02,-2.7845725151e+02
